Book_name,Author_name
Structural Analysis,Russell C. Hibbeler
Fundamentals of Structural Analysis,Harry H. West
SOM,RK Bansal
Structural Analysis,R C Hibbeler and C S Reddy
RCC ,P C Verghese and B C Punmias
Steel Structures,L S Negi and S K Duggal
Survey,N N Basak
Water and waste water,SK GARG
Water Resources,SK GARG
Fluid Mechanics,RK Bansal and Fox and Richard (Tata Mcgraw Publications)
Geo Tech,Gopal Ranjan and Venkatramiah
Hydrology and Irrigation,Subramanya and SK Garg
Theory of Structures/ Analysis of Structure,S. Ramamurtham
Design of steel structures,S.K. Duggal
Design of RCC structures,Pillai & Menon
Fluid Mechanics and Fluid Machines,R. K. Bansal
Strength of Materials /Mechanics of Structure,Gare & Timoshenko
Engineering Hydrology,K. Subarmanya
