Book_name,Author_name
Discrete Mathematics and its Applications,Kenneth H. Rosen
Object-Oriented Analysis and Design with Applications,A. Maksimchuk
Introduction to Algorithms,Thomas H. Cormen
Structure and Interpretation of Computer Programs,Harold Abelson
The C Programming Language,Brian W. Kernighan
The Pragmatic Programmer: From Journeyman to Master,Andrew Hunt
"The Art of Computer Programming, Volumes 1-3",Donald Ervin Knuth
Design Patterns: Elements of Reusable Object- Oriented Software,Erich Gamma
Introduction to the Theory of Computation,Michael Sipser
The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.
Code Complete,Steve McConnell
Algorithms,Robert Sedgewick
Let Us C,Yashavant P. Kanetkar
Hacking: The Art of Exploitation,John Erickson
