Book_name,Author_name
The Art of Electronics,Paul Horowitz
Microelectronic Circuits,Adel S. Sedra
Linear Systems and Signals,B.P. Lathi
ABC of Electrical Engineering,B.L. Theraja
Fundamentals of Digital Logic with Verilog Design,Stephen D. Brown
Signal Processing and Linear Systems,B.P. Lathi
Fundamentals Of Electrical Engineering And Electronics,B.L. Theraja
"Circuits, Signals, and Systems",William M. Siebert
Microwave Engineering,David M. Pozar
"Digital Signal Processing: Principles, Algorithms, and Applications ",John G. Proakis
Digital Communications: Fundamentals and Applications,Bernard Sklar
Control Systems Engineering,Norman S. Nise
Basic Electrical Technology,VK Mehta
Electrical Machinery,P.S Bhimbra
