Book_name,Author_name
Engineering Drawing,Basant Agarwal and C M Agarwal
Engineering Drawing and Design,David A. Madsen and David P. Madsen
Thermodynamics An Engineering Approach,Younus A. Cengel and Micheal A. Boles 
Fundamentals of Engineering Thermodynamics,Michael J. Moran and Howard N. Shapiro
Basic and Applied Thermodynamics,P.K. Nag
Engineering Thermodynamics,Rogers
Vector Mechanics for Engineers statics and dynamics,Ferdinand P. Beer and E. Russel Johnston
History of Strength of Materials,Timshenko
Strength of Materials,Singer
Mechanics of Materials,Beer Johnston
Engineering Mechanics of Solids,Popov
Numerical Methods for Engineers,Steven Chapra
